,,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Derek Carr,,0,QB,QB1,5600,NO,vs DET,31,21.5,7.6,15.9,14.1,1,31.3,221.67,1.41,0.58,0.0665,1.64,4.71,0.03,1.64,0,0,0,0,0,0,0,0,0,0,0,14.58,14.58,0,3.18,29.78,14.58,14.58,0,100,,55,2.6,15,20,20,32,57,57,34.53,22.6,251.72,0.67,1.92,1.5,93.98,1.96,5.78,0.04,0.01,0.01,-0.07,,,,,,,,
Isiah Pacheco,,0,RB,RB1,6500,KC,@ GB,20,24.25,6.7,8.2,14.1,0,0,0,0,0,0.6339,14.56,64.5,0.49,17.7,0.0937,3.14,2.77,19.1,0.08,0,0,0,0,0,0,14.55,14.55,0,4.5,27.95,14.55,14.55,0,100,,37,2.2,12,16,16,23,58,58,,,,,,,,11.71,53.54,0.36,1.71,1.54,11.64,0.04,,,,,,,
D'Andre Swift,,0,RB,RB1,6600,PHI,vs SF,9,22.25,7.5,13.9,15.1,0,0,0,0,0,0.4583,12.85,59.89,0.47,16.51,0.1275,3.66,2.95,20.33,0.1,0,0,0,0,0,0,14.39,14.39,0,3.14,29.39,14.39,14.39,0,100,,50,2.2,11,17,17,22,59,59,0.02,,,,,,0.78,10.29,48.04,0.43,4.78,3.73,27.43,0.16,,,,,,,
Calvin Ridley,,0,WR,WR1,6400,JAC,vs CIN,7,24,9.8,0,14.3,0,0,0,0,0,0,0,0,0,7.57,0.2043,7.57,4.9,65.54,0.49,0,0,0,0,0,0,14.39,14.39,0,0,33.99,14.39,14.39,0,100,,38,2.2,19,21,21,24,59,59,,,,,,,,0.3,1.5,,7.6,4.92,66.75,0.55,,,,,,,
DeVonta Smith,,0,WR,WR2,7300,PHI,vs SF,29,22.25,8.5,15.9,15,0,0,0,0,0,0,0,0,0,7.46,0.2597,7.46,5.25,66.46,0.41,0,0,0,0,0,0,14.36,14.36,0,1.61,31.36,14.36,14.36,0,100,,39,2,11,22,22,15,60,60,,,,,,,,,,,7.02,4.76,63.33,0.38,,,,,,,
Deebo Samuel,,0,WR,WR1,6200,SF,@ PHI,26,25.25,8.7,13.3,13.6,0,0,0,0,0,0.0925,2.85,17.79,0.33,8.58,0.1875,5.73,3.84,55.4,0.2,0,0,0,0,0,0,14.34,14.34,0,1.29,31.74,14.34,14.34,0,100,,44,2.3,21,23,23,26,61,61,0.05,0.02,0.38,,,0.02,3.17,2.46,16.22,0.27,6.46,4.24,60.81,0.21,,,,,,,
Jerome Ford,,0,RB,RB1,5500,CLE,@ LAR,16,18.75,7.4,0.6,13,0,0,0,0,0,0.5879,17.4,73.57,0.36,21.06,0.1098,3.66,2.37,13.45,0.13,0,0,0,0,0,0,14.01,14.01,0,2.91,28.81,14.01,14.01,0,100,,33,2.5,21,18,18,33,62,62,,,,,,,,11.77,49.23,0.23,3.15,2.08,12.54,0.15,,,,,,,
Christian Kirk,,0,WR,WR2,5800,JAC,vs CIN,7,24,7.7,14.8,14.1,0,0,0,0,0,0,0,0,0,8.07,0.218,8.07,5.27,66.94,0.33,0,0,0,0,0,0,13.94,13.94,0,2.39,29.34,13.94,13.94,0,100,,39,2.4,25,24,24,30,63,63,0.05,0.02,0.38,,,,2.88,0.26,1.89,,6.85,4.48,56.8,0.33,,,,,,,
Jerry Jeudy,,0,WR,WR2,4700,DEN,@ HOU,13,22.25,7.5,14.2,8.7,0,0,0,0,0,0,0,0,0,8.33,0.2472,8.33,5.29,70.94,0.26,0,0,0,0,0,0,13.94,13.94,0,2.69,28.94,13.94,13.94,0,100,,31,3,35,24,24,41,63,63,,,,,,,,0.12,0.84,,6.31,3.8,53.63,0.2,,,,,,,
David Montgomery,,0,RB,RB1,6500,DET,@ NO,22,25.5,8.2,11.4,18.2,0,0,0,0,0,0.4972,14.31,61.7,0.58,17.12,0.0682,2.81,2.13,17.87,0.04,0,0,0,0,0,0,13.81,13.81,0,1.51,30.21,13.81,13.81,0,100,,43,2.1,12,19,19,23,64,64,0.01,,,0.01,,,,15.41,62.6,0.51,3.04,2.4,19.53,0.06,,,,,,,
Rhamondre Stevenson,,0,RB,RB1,6000,NE,vs LAC,17,17.25,8,15.1,13,0,0,0,0,0,0.5825,11.98,53.13,0.33,17.47,0.1642,5.49,4.05,23.56,0.01,0,0,0,0,0,0,13.76,13.76,0,1.76,29.76,13.76,13.76,0,100,,38,2.3,17,20,20,28,65,65,,,,,,,,12.25,55.63,0.35,3.93,3,19.55,0.03,,,,,,,
Josh Downs,,0,WR,WR2,5100,IND,@ TEN,31,21.75,6.5,0,10.9,0,0,0,0,0,0,0,0,0,8.78,0.2329,8.78,5.73,65.69,0.24,0,0,0,0,0,0,13.74,13.74,0,3.99,26.74,13.74,13.74,0,100,,40,2.7,31,25,25,37,66,66,,,,,,,,,,,6.64,4.36,51.45,0.18,,,,,,,
Robert Woods,,0,WR,WR4,3900,HOU,vs DEN,10,25.25,8.3,6.9,7.6,0,0,0,0,0,0,0,0,0,8.67,0.2142,8.67,5.41,64.75,0.28,0,0,0,0,0,0,13.57,13.57,0,1.12,30.17,13.57,13.57,0,100,,34,3.5,43,26,26,49,67,67,,,,,,,,0.59,4.02,0.04,7.14,4.57,55.62,0.25,,,,,,,
DeAndre Hopkins,,0,WR,WR1,6100,TEN,vs IND,14,20.75,9,17.6,13.2,0,0,0,0,0,0,0,0,0,7.55,0.2472,7.55,4.58,61.41,0.46,0,0,0,0,0,0,13.48,13.48,0,0,31.48,13.48,13.48,0,100,,51,2.2,22,27,27,27,68,68,0.02,0.01,0.05,0.01,,0.01,0.24,0.04,0.13,,9.95,6.22,80.57,0.53,,,,,,,
Will Levis,,0,QB,QB1,5200,TEN,vs IND,16,20.75,7.3,0,12.8,1,30.53,212.45,1.13,0.53,0.1149,3.4,6.71,0.05,3.4,0,0,0,0,0,0,0,0,0,0,0,13.46,13.46,0,2.51,28.06,13.46,13.46,0,100,,43,2.6,19,21,21,36,69,69,30.4,18.2,208.4,0.4,2.6,1.2,96.72,3,2.4,,,,,,,,,,,,
Bijan Robinson,,0,RB,RB1,6700,ATL,@ NYJ,30,17.25,7.6,0,15.1,0,0,0,0,0,0.4325,12.5,61.3,0.32,16.54,0.1488,4.04,2.42,17.83,0.2,0,0,0,0,0,0,13.45,13.45,0,2.05,28.65,13.45,13.45,0,100,,50,2,10,21,21,21,70,70,,,,,,,,12.82,63.91,0.27,4.45,2.91,21.82,0.27,,,,,,,
Desmond Ridder,,0,QB,QB1,5000,ATL,@ NYJ,1,17.25,7.1,10.2,14.1,1,27.12,195.76,0.8,0.71,0.1125,3.25,14.78,0.27,3.25,0,0,0,0,0,0,0,0,0,0,0,13.42,13.42,0,2.77,27.62,13.42,13.42,0,100,,45,2.7,21,22,22,38,71,71,27.29,17.64,186.86,0.57,1.79,0.64,60.31,3.93,17.43,0.29,0.07,0.07,-0.43,,,,,,,,
Garrett Wilson,,0,WR,WR1,6000,NYJ,vs ATL,2,16.25,7.7,13.3,13.9,0,0,0,0,0,0,0,0,0,11.12,0.3402,11.12,6.19,59,0.22,0,0,0,0,0,0,13.41,13.41,0,1.86,28.81,13.41,13.41,0,100,,43,2.2,23,28,28,28,72,72,0.07,,,,,,0.07,0.18,0.36,,9.29,5.25,64.21,0.25,,,,,,,
Rashee Rice,,0,WR,WR1,5600,KC,@ GB,12,24.25,6,0,11.8,0,0,0,0,0,0,0,0,0,5.87,0.1754,5.87,4.65,54.41,0.55,0,0,0,0,0,0,13.39,13.39,0,4.39,25.39,13.39,13.39,0,100,,49,2.4,27,29,29,32,73,73,,,,,,,,0.09,-0.27,,5.09,4,47.91,0.45,,,,,,,
Brian Robinson,,0,RB,RB1,6100,WAS,vs MIA,6,20.25,7.2,9.6,14.6,0,0,0,0,0,0.6701,15.89,62.57,0.35,18.36,0.0729,2.47,1.96,20.3,0.17,0,0,0,0,0,0,13.37,13.37,0,2.57,27.77,13.37,13.37,0,100,,40,2.2,16,22,22,27,74,74,,,,,,,,14.92,58.67,0.29,2,1.58,16.04,0.17,,,,,,,
Breece Hall,!,0,RB,RB1,6400,NYJ,vs ATL,13,16.25,7.8,17.4,14.3,0,0,0,0,0,0.5858,10.68,47.01,0.22,15.4,0.1442,4.72,3.6,26.57,0.18,0,0,0,0,0,0,13.36,13.36,0,1.66,28.96,13.36,13.36,0,100,,50,2.1,13,23,23,24,75,75,,,,,,,,11.33,57.33,0.33,4.44,3.17,29.89,0.17,,,,,,,
Bryce Young,,0,QB,QB1,4900,CAR,@ TB,19,16.75,3.8,0,11.7,1,35.16,215.33,0.97,0.8,0.1068,2.59,15.78,0,2.59,0,0,0,0,0,0,0,0,0,0,0,13.27,13.27,0,7.57,20.87,13.27,13.27,0,100,,68,2.7,22,23,23,39,76,76,35,21.6,187.7,0.8,4,0.9,75.66,2.5,16.1,,,,,,,,,,,,
Najee Harris,,0,RB,RB1,5200,PIT,vs ARI,29,23.5,7.1,13.5,10.4,0,0,0,0,0,0.5505,15.36,61.97,0.42,18.81,0.093,3.45,2.58,15.39,0.07,0,0,0,0,0,0,13.26,13.26,0,2.61,27.46,13.26,13.26,0,100,,51,2.6,24,24,24,36,77,77,0.02,0.02,0.09,,,,1.85,16.04,63.02,0.4,3.87,2.98,18.04,0.13,,,,,,,
Jayden Reed,!,0,WR,WR3,4400,GB,vs KC,16,18.25,5.6,0,12,0,0,0,0,0,0,0,0,0,6.94,0.2273,6.94,4.41,57.43,0.49,0,0,0,0,0,0,13.09,13.09,0,4.69,24.29,13.09,13.09,0,100,,53,3,38,30,30,44,78,78,,,,,,,,0.64,7.36,0.09,5.36,3.27,45.18,0.45,,,,,,,
A.J. Dillon,,0,RB,RB1,5400,GB,vs KC,18,18.25,7,9.9,8,0,0,0,0,0,0.6694,16.39,64.23,0.36,19.24,0.0934,2.85,2.2,18.76,0.04,0,0,0,0,0,0,12.9,12.9,0,2.4,26.9,12.9,12.9,0,100,,22,2.4,22,25,25,34,79,79,,,,,,,,10.19,41.91,0.28,1.96,1.54,13.41,0.04,,,,,,,
Brandin Cooks,,0,WR,WR2,4900,DAL,vs SEA,28,28.25,9.2,11.4,10.7,0,0,0,0,0,0,0,0,0,6.67,0.1763,6.67,4.37,60.08,0.41,0,0,0,0,0,0,12.84,12.84,0,0,31.24,12.84,12.84,0,100,,36,2.6,33,31,31,39,80,80,,,,,,,,0.35,1.95,0.01,7.22,4.66,65.21,0.38,,,,,,,
Jaylen Warren,,0,RB,RB2,5400,PIT,vs ARI,29,23.5,5.9,5.8,12.6,0,0,0,0,0,0.3155,8.81,51.1,0.24,13.44,0.1247,4.63,3.85,24.27,0,0,0,0,0,0,0,12.83,12.83,0,3.98,24.63,12.83,12.83,0,100,,31,2.4,22,26,26,34,81,81,,,,,,,,6.3,34.11,0.15,2.89,2.41,17.07,,,,,,,,
Christian Watson,,0,WR,WR1,4600,GB,vs KC,16,18.25,8.9,12.4,9.2,0,0,0,0,0,0,0,0,0,7.38,0.2418,7.38,3.92,58.71,0.5,0,0,0,0,0,0,12.79,12.79,0,0,30.59,12.79,12.79,0,100,,21,2.8,36,32,32,42,82,82,,,,,,,,0.41,3.45,0.09,4.95,2.82,43.73,0.45,,,,,,,
Diontae Johnson,,0,WR,WR1,5000,PIT,vs ARI,1,23.5,7.5,10.6,10.6,0,0,0,0,0,0,0,0,0,9.32,0.251,9.32,5.48,58.92,0.22,0,0,0,0,0,0,12.69,12.69,0,1.44,27.69,12.69,12.69,0,100,,43,2.5,32,33,33,38,83,83,,,,,,,,0.27,1.89,,8.55,5.21,56.79,0.3,,,,,,,
Joe Flacco,,0,QB,QB1,4600,CLE,@ LAR,23,18.75,7.4,12.3,0,1,33.36,215.77,1.17,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,12.6,0,1.5,27.4,12.6,12.6,0,100,,50,2.7,25,24,24,42,84,84,37.23,23.51,236.46,0.8,1.92,1.18,83.84,1.44,3.18,0.08,,,-0.04,,,,,,,,
George Pickens,,0,WR,WR2,4800,PIT,vs ARI,1,23.5,7.3,10,12.2,0,0,0,0,0,0,0,0,0,7.69,0.207,7.69,4.37,65.89,0.27,0,0,0,0,0,0,12.58,12.58,0,1.63,27.18,12.58,12.58,0,100,,33,2.6,34,34,34,40,85,85,,,,,,,,0.18,1.39,0.04,5.64,3.29,52.25,0.25,,,,,,,
Terry McLaurin,,0,WR,WR1,5500,WAS,vs MIA,20,20.25,7.6,14.2,11.8,0,0,0,0,0,0,0,0,0,7.72,0.228,7.72,4.78,61.8,0.25,0,0,0,0,0,0,12.46,12.46,0,1.06,27.66,12.46,12.46,0,100,,45,2.3,28,35,35,33,86,86,,,,,,,,0.13,0.95,,7.64,4.79,66.33,0.31,,,,,,,
Tyler Lockett,,0,WR,WR2,5900,SEA,@ DAL,9,19.25,9.7,15.5,12.5,0,0,0,0,0,0,0,0,0,6.4,0.228,6.4,4.52,55.26,0.39,0,0,0,0,0,0,12.39,12.39,0,0,31.79,12.39,12.39,0,100,,27,2.1,24,36,36,29,87,87,,,,,,,,0.28,1.87,0.01,5.98,4.25,56.22,0.42,,,,,,,
Noah Brown,!,0,WR,WR3,4500,HOU,vs DEN,10,25.25,6.8,7.7,15.4,0,0,0,0,0,0,0,0,0,6.84,0.1691,6.84,4.35,68.26,0.18,0,0,0,0,0,0,12.26,12.26,0,2.06,25.86,12.26,12.26,0,100,,0,2.7,37,37,37,43,88,88,,,,,,,,0.04,0.06,,3.32,2.06,28.38,0.08,,,,,,,
Trey McBride,!,0,TE,TE1,4900,ARI,@ PIT,27,17.5,7,6.8,9.1,0,0,0,0,0,0,0,0,0,7.23,0.2094,7.23,5.36,58.62,0.17,0,0,0,0,0,0,12.24,12.24,0,1.74,26.24,12.24,12.24,0,100,,14,2.5,6,4,4,39,89,89,,,,,,,,,,,4.95,3.67,37.43,0.1,,,,,,,
DK Metcalf,,0,WR,WR1,6500,SEA,@ DAL,9,19.25,8.2,13.8,13.2,0,0,0,0,0,0,0,0,0,7.17,0.2556,7.17,4.15,57.07,0.36,0,0,0,0,0,0,12.02,12.02,0,0,28.42,12.02,12.02,0,100,,44,1.8,18,38,38,23,90,90,,,,,,,,0.04,0.22,,7.62,4.62,65.58,0.5,,,,,,,
David Njoku,,0,TE,TE1,4100,CLE,@ LAR,18,18.75,5.9,10.2,10.1,0,0,0,0,0,0,0,0,0,7.46,0.2237,7.46,4.78,50.65,0.33,0,0,0,0,0,0,11.83,11.83,0,2.98,23.63,11.83,11.83,0,100,,25,2.9,10,5,5,47,91,91,,,,,,,,0.05,-0.07,,4.68,3.02,33.81,0.25,,,,,,,
Romeo Doubs,,0,WR,WR2,4800,GB,vs KC,16,18.25,6.2,7.9,11.5,0,0,0,0,0,0,0,0,0,7.18,0.235,7.18,4.32,42.51,0.53,0,0,0,0,0,0,11.75,11.75,0,2.45,24.15,11.75,11.75,0,100,,35,2.4,34,39,39,40,92,92,,,,,,,,0.04,0.46,,5.67,3.46,35.75,0.42,,,,,,,
Kareem Hunt,,0,RB,RB2,4700,CLE,@ LAR,16,18.75,9.5,7.5,8.8,0,0,0,0,0,0.4121,12.19,49.66,0.53,14.28,0.0627,2.09,1.66,12.49,0.09,0,0,0,0,0,0,11.6,11.6,0,0,30.6,11.6,11.6,0,100,,32,2.5,28,27,27,41,93,93,,,,,,,,11.58,50.52,0.44,3.26,2.59,21.74,0.2,,,,,,,
Evan Engram,,0,TE,TE1,4500,JAC,vs CIN,7,24,6.9,10.8,10.5,0,0,0,0,0,0,0,0,0,7.68,0.2073,7.68,5.24,50.07,0.18,0,0,0,0,0,0,11.33,11.33,0,0.98,25.13,11.33,11.33,0,100,,33,2.5,8,6,6,43,94,94,,,,,,,,0.17,1,0.01,6.55,4.29,44.28,0.22,,,,,,,
Devin Singletary,,0,RB,RB1,5900,HOU,vs DEN,27,25.25,6.6,11.5,9.1,0,0,0,0,0,0.3906,10.98,49.68,0.24,13.91,0.0724,2.93,2.25,15.05,0.04,0,0,0,0,0,0,10.4,10.4,0,0.5,23.6,10.4,10.4,0,100,,40,1.8,18,28,28,29,95,95,0.01,0.01,0.08,,,0.01,6.08,11.03,50.66,0.25,3.1,2.32,15.89,0.05,,,,,,,
Tee Higgins,,0,WR,WR2,6300,CIN,@ JAC,15,15,9.4,16.6,10.7,0,0,0,0,0,0,0,0,0,5.97,0.1847,5.97,3.77,48.83,0.28,0,0,0,0,0,0,10.33,10.33,0,0,29.13,10.33,10.33,0,100,,36,1.6,20,40,40,25,96,96,,,,,,,,0.1,0.56,,7.56,4.84,67.12,0.42,,,,,,,
Chuba Hubbard,,0,RB,RB1,5300,CAR,@ TB,2,16.75,5.9,6.5,9.3,0,0,0,0,0,0.4198,10.18,40,0.2,13.85,0.1044,3.67,2.98,19.29,0.03,0,0,0,0,0,0,10.29,10.29,0,1.44,22.09,10.29,10.29,0,100,,28,1.9,23,29,29,35,97,97,,,,,,,,9.39,37.34,0.22,2.1,1.63,12.44,0.02,,,,,,,
Samaje Perine,,0,RB,RB2,4800,DEN,@ HOU,14,22.25,6.7,9.1,8,0,0,0,0,0,0.1809,4.71,20.15,0.11,9.02,0.128,4.31,3.69,30.98,0.13,0,0,0,0,0,0,10.24,10.24,0,0.19,23.64,10.24,10.24,0,100,,6,2.1,27,30,30,40,98,98,,,,,,,,6.08,24.63,0.11,2.24,1.89,15.11,0.08,,,,,,,
Jake Ferguson,,0,TE,TE1,4000,DAL,vs SEA,28,28.25,5.5,4.4,9.6,0,0,0,0,0,0,0,0,0,5.26,0.139,5.26,3.79,39.52,0.41,0,0,0,0,0,0,10.2,10.2,0,1.95,21.2,10.2,10.2,0,100,,21,2.6,11,7,7,48,99,99,,,,,,,,,,,3.64,2.68,27.05,0.27,,,,,,,
Miles Sanders,,0,RB,RB2,4300,CAR,@ TB,2,16.75,8.4,13.4,6.7,0,0,0,0,0,0.4734,11.48,49.75,0.23,14.72,0.0922,3.24,2.2,13.73,0.03,0,0,0,0,0,0,10.11,10.11,0,0,26.91,10.11,10.11,0,100,,31,2.4,32,31,31,45,100,100,,,,,,,,12.5,59.99,0.31,3.13,2.18,15.74,0.04,,,,,,,
Drake London,,0,WR,WR1,4900,ATL,@ NYJ,25,17.25,6.3,10.9,11.7,0,0,0,0,0,0,0,0,0,6.26,0.2307,6.26,4.12,50.73,0.14,0,0,0,0,0,0,10.03,10.03,0,0.58,22.63,10.03,10.03,0,100,,44,2,33,41,41,39,101,101,0.04,0.04,0.81,,,,6.56,,,,6.81,4.33,53,0.22,,,,,,,
Jahan Dotson,,0,WR,WR2,4600,WAS,vs MIA,20,20.25,7.6,11.1,9.4,0,0,0,0,0,0,0,0,0,5.88,0.1736,5.88,3.55,41.02,0.39,0,0,0,0,0,0,9.99,9.99,0,0,25.19,9.99,9.99,0,100,,26,2.2,36,42,42,42,102,102,,,,,,,,0.08,-0.29,,5.42,3.21,39.92,0.46,,,,,,,
Bailey Zappe,,0,QB,QB1,4800,NE,vs LAC,20,17.25,7,12.2,1.1,1,33.41,196.13,0.89,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73,9.73,0,0,23.73,9.73,9.73,0,100,,0,2,23,25,25,40,103,103,16.38,10.5,117.38,0.63,0.25,0.63,17.59,1.25,,,0.13,0.13,-0.75,,,,,,,,
Hunter Henry,,0,TE,TE1,3100,NE,vs LAC,17,17.25,6,6.5,7.8,0,0,0,0,0,0,0,0,0,5.65,0.169,5.65,3.82,40.26,0.29,0,0,0,0,0,0,9.59,9.59,0,0.59,21.59,9.59,9.59,0,100,,38,3.1,19,8,8,57,104,104,,,,,,,,,,,4.99,3.41,40.17,0.38,,,,,,,
Jets,,0,DST,DST1,3500,NYJ,vs ATL,21,17.25,5.4,6.9,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,1.13,0.76,0.25,0.25,17.25,9.54,9.54,0,1.44,20.34,9.54,9.54,0,100,,7,2.7,6,1,1,53,105,105,,,,,,,,,,,,,,,2.15,0.73,0.5,0.13,0.05,23.65,353.77
Rondale Moore,,0,WR,WR2,3400,ARI,@ PIT,27,17.5,6.5,11,6.8,0,0,0,0,0,0.0725,1.89,10.12,0.05,7.25,0.1554,5.36,3.67,35.34,0.14,0,0,0,0,0,0,9.36,9.36,0,0,22.36,9.36,9.36,0,100,,22,2.8,48,43,43,54,106,106,,,,,,,,1.38,6.68,0.03,4.88,3.62,32.44,0.09,,,,,,,
Cowboys,,0,DST,DST1,3800,DAL,vs SEA,28,19.25,6.8,9.8,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.73,0.31,0.1,0.52,19.25,9.2,9.2,0,0,22.8,9.2,9.2,0,100,,8,2.4,3,2,2,50,107,107,,,,,,,,,,,,,,,2.44,0.76,0.61,0.19,0.01,21.26,342.69
Colts,,0,DST,DST1,3200,IND,@ TEN,24,20.75,5.7,6.4,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,1.29,0.47,0,0.23,20.75,9.19,9.19,0,0.64,20.59,9.19,9.19,0,100,,21,2.9,9,3,3,56,108,108,,,,,,,,,,,,,,,2.31,0.88,0.6,0.18,0.06,23.18,357.38
D.J. Chark,,0,WR,WR3,3200,CAR,@ TB,30,16.75,8.6,9.2,8,0,0,0,0,0,0,0,0,0,5.71,0.1625,5.71,3.18,40.71,0.32,0,0,0,0,0,0,9.17,9.17,0,0,26.37,9.17,9.17,0,100,,17,2.9,50,44,44,56,109,109,,,,,,,,0.03,0.33,,5.87,3.26,47.11,0.36,,,,,,,
Chargers,,0,DST,DST1,4000,LAC,@ NE,32,17.25,5.6,5.9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0.65,1.03,0,0.13,17.25,9.13,9.13,0,0.73,20.33,9.13,9.13,0,100,,10,2.3,1,4,4,48,110,110,,,,,,,,,,,,,,,2.24,0.81,0.51,0.15,0.02,23.05,350.52
Dolphins,,0,DST,DST1,3900,MIA,@ WAS,19,20.25,6.7,5.7,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,0.97,0.48,0,0.24,20.25,9.1,9.1,0,0,22.5,9.1,9.1,0,100,,0,2.3,2,5,5,49,111,111,,,,,,,,,,,,,,,2.21,0.87,0.43,0.22,0.03,24.01,365.28
Taysom Hill,,0,TE,QB2,5200,NO,vs DET,11,21.5,7.8,9.3,9.5,0,0,0,0,0,0.173,4.27,22.97,0.29,6.68,0.0769,2.41,1.8,18.3,0.22,0,0,0,0,0,0,8.99,8.99,0,0,24.59,8.99,8.99,0,100,,4,1.7,4,9,9,36,112,112,3.38,2.2,27.44,0.09,0.32,0.13,48.81,4.34,24.1,0.3,1.08,0.79,8.08,0.13,,,,,,,
Michael Gallup,,0,WR,WR3,3600,DAL,vs SEA,28,28.25,7.4,7.5,6.3,0,0,0,0,0,0,0,0,0,5.61,0.1483,5.61,3.2,43.45,0.24,0,0,0,0,0,0,8.99,8.99,0,0,23.79,8.99,8.99,0,100,,24,2.5,46,45,45,52,112,112,,,,,,,,,,,5.92,3.29,46.62,0.25,,,,,,,
Tyler Higbee,,0,TE,TE1,3700,LAR,vs CLE,8,21.75,6.6,9.5,7,0,0,0,0,0,0,0,0,0,5.51,0.1593,5.51,3.69,36.8,0.26,0,0,0,0,0,0,8.93,8.93,0,0,22.13,8.93,8.93,0,100,,12,2.4,13,10,10,51,113,113,,,,,,,,0.01,0.01,,4.53,3.05,31.08,0.2,,,,,,,
Tyler Boyd,,0,WR,WR3,4200,CIN,@ JAC,15,15,8,10.8,10.2,0,0,0,0,0,0,0,0,0,5.37,0.166,5.37,3.67,39.52,0.2,0,0,0,0,0,0,8.82,8.82,0,0,24.82,8.82,8.82,0,100,,31,2.1,40,46,46,46,114,114,0.04,0.03,0.75,,0.01,,3.49,0.16,1.41,,6.38,4.35,50.83,0.27,,,,,,,
Tyler Allgeier,,0,RB,RB2,4500,ATL,@ NYJ,30,17.25,6.3,10.2,7.9,0,0,0,0,0,0.455,13.15,53.07,0.23,14.68,0.0565,1.53,1.17,8.25,0.02,0,0,0,0,0,0,8.8,8.8,0,0,21.4,8.8,8.8,0,100,,32,2,30,32,32,43,115,115,,,,,,,,12.78,55.59,0.22,1.26,1.04,8.22,0.04,,,,,,,
Jaguars,,0,DST,DST1,3400,JAC,vs CIN,14,15,6.5,8.1,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1.18,0.66,0,0.26,15,8.74,8.74,0,0,21.74,8.74,8.74,0,100,,2,2.6,7,6,6,54,116,116,,,,,,,,,,,,,,,2.24,0.73,0.49,0.22,0.01,23.35,355.1
