"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Kyler Murray",ARI,"vs. BUF","4 out of 5 stars","A+","23.2"
"2","Josh Allen",BUF,"at ARI","4 out of 5 stars","A","22.9"
"3","Aaron Rodgers",GB,"vs. JAC","5 out of 5 stars","A","22.4"
"4","Russell Wilson",SEA,"at LAR","2 out of 5 stars","A","21.9"
"5","Deshaun Watson",HOU,"at CLE","3 out of 5 stars","A","21.5"
"6","Justin Herbert",LAC,"at MIA","2 out of 5 stars","B+","21.0"
"7","Lamar Jackson",BAL,"at NE","1 out of 5 stars","B+","20.6"
"8","Tom Brady",TB,"at CAR","1 out of 5 stars","B","20.2"
"9","Carson Wentz",PHI,"at NYG","4 out of 5 stars","B","19.9"
"10","Jared Goff",LAR,"vs. SEA","5 out of 5 stars","B","19.4"
"11","Drew Brees",NO,"vs. SF","3 out of 5 stars","B-","19.0"
"12","Ben Roethlisberger",PIT,"vs. CIN","4 out of 5 stars","C+","18.6"
"13","Ryan Tannehill",TEN,"vs. IND","2 out of 5 stars","C","18.2"
"14","Baker Mayfield",CLE,"vs. HOU","4 out of 5 stars","C","17.9"
"15","Tua Tagovailoa",MIA,"vs. LAC","4 out of 5 stars","C","17.5"
"16","Derek Carr",LV,"vs. DEN","4 out of 5 stars","C","17.2"
"17","Joe Burrow",CIN,"at PIT","1 out of 5 stars","C-","17.0"
"18","Drew Lock",DEN,"at LV","3 out of 5 stars","C-","16.9"
"19","Cam Newton",NE,"vs. BAL","3 out of 5 stars","D","16.7"
"20","Daniel Jones",NYG,"vs. PHI","4 out of 5 stars","D","16.5"
"21","Teddy Bridgewater",CAR,"vs. TB","2 out of 5 stars","D","16.4"
"22","Matthew Stafford",DET,"vs. WAS","3 out of 5 stars","D","16.2"
"23","Philip Rivers",IND,"at TEN","5 out of 5 stars","D-","16.0"
"24","Nick Foles",CHI,"vs. MIN","3 out of 5 stars","F","15.8"
"25","Jake Luton",JAC,"at GB","2 out of 5 stars","F","15.6"
"26","Alex Smith",WAS,"at DET","4 out of 5 stars","F","15.4"
"27","Kirk Cousins",MIN,"at CHI","1 out of 5 stars","F","15.2"
"28","Nick Mullens",SF,"at NO","4 out of 5 stars","F","15.0"
"29","Taysom Hill",NO,"vs. SF","3 out of 5 stars","F","14.6"
"30","C.J. Beathard",SF,"at NO","4 out of 5 stars","F","13.7"
"31","Jarrett Stidham",NE,"vs. BAL","3 out of 5 stars","F","12.6"
"32","Chase Daniel",DET,"vs. WAS","3 out of 5 stars","F","11.1"
"33","Jalen Hurts",PHI,"at NYG","4 out of 5 stars","F","9.5"
"34","Mike Glennon",JAC,"at GB","2 out of 5 stars","F","7.6"
"35","Mason Rudolph",PIT,"vs. CIN","4 out of 5 stars","F","6.5"
"36","Jacoby Brissett",IND,"at TEN","5 out of 5 stars","F","4.1"
"37","Dwayne Haskins",WAS,"at DET","4 out of 5 stars","F","1.8"
"38","Brett Rypien",DEN,"at LV","3 out of 5 stars","F","1.0"
"39","Jameis Winston",NO,"vs. SF","3 out of 5 stars","F","0.9"